questionId,questionTitle,content,difficulty,totalAccepted,totalSubmission,acRate,categoryTitle,likes,translatedTitle,translatedContent
1148,Adding Two Negabinary Numbers,"Given two numbers arr1 and arr2 in base -2, return the result of adding them together.
Each number is given in array format:  as an array of 0s and 1s, from most significant bit to least significant bit.  For example, arr = [1,1,0,1] represents the number (-2)^3 + (-2)^2 + (-2)^0 = -3.  A number arr in array format is also guaranteed to have no leading zeros: either arr == [0] or arr[0] == 1.
Return the result of adding arr1 and arr2 in the same format: as an array of 0s and 1s with no leading zeros.
 
Example 1:
Input: arr1 = [1,1,1,1,1], arr2 = [1,0,1]
Output: [1,0,0,0,0]
Explanation: arr1 represents 11, arr2 represents 5, the output represents 16.
 
Note:
	1 <= arr1.length <= 1000
	1 <= arr2.length <= 1000
	arr1 and arr2 have no leading zeros
	arr1[i] is 0 or 1
	arr2[i] is 0 or 1
",Medium,1350,4338,31.1%,Algorithms,16,负二进制数相加,"给出基数为 -2 的两个数 arr1 和 arr2，返回两数相加的结果。
数字以 数组形式 给出：数组由若干 0 和 1 组成，按最高有效位到最低有效位的顺序排列。例如，arr = [1,1,0,1] 表示数字 (-2)^3 + (-2)^2 + (-2)^0 = -3。数组形式 的数字也同样不含前导零：以 arr 为例，这意味着要么 arr == [0]，要么 arr[0] == 1。
返回相同表示形式的 arr1 和 arr2 相加的结果。两数的表示形式为：不含前导零、由若干 0 和 1 组成的数组。
 
示例：
输入：arr1 = [1,1,1,1,1], arr2 = [1,0,1]
输出：[1,0,0,0,0]
解释：arr1 表示 11，arr2 表示 5，输出表示 16 。
 
提示：
	1 <= arr1.length <= 1000
	1 <= arr2.length <= 1000
	arr1 和 arr2 都不含前导零
	arr1[i] 为 0 或 1
	arr2[i] 为 0 或 1
"
1156,Occurrences After Bigram,"Given words first and second, consider occurrences in some text of the form ""first second third"", where second comes immediately after first, and third comes immediately after second.

For each such occurrence, add ""third"" to the answer, and return the answer.

 

Example 1:


Input: text = ""alice is a good girl she is a good student"", first = ""a"", second = ""good""
Output: [""girl"",""student""]



Example 2:


Input: text = ""we will we will rock you"", first = ""we"", second = ""will""
Output: [""we"",""rock""]


 

Note:


	1 <= text.length <= 1000
	text consists of space separated words, where each word consists of lowercase English letters.
	1 <= first.length, second.length <= 10
	first and second consist of lowercase English letters.


",Easy,6768,11069,61.1%,Algorithms,13,Bigram 分词,"给出第一个词 first 和第二个词 second，考虑在某些文本 text 中可能以 ""first second third"" 形式出现的情况，其中 second 紧随 first 出现，third 紧随 second 出现。
对于每种这样的情况，将第三个词 ""third"" 添加到答案中，并返回答案。
 
示例 1：
输入：text = ""alice is a good girl she is a good student"", first = ""a"", second = ""good""
输出：[""girl"",""student""]
示例 2：
输入：text = ""we will we will rock you"", first = ""we"", second = ""will""
输出：[""we"",""rock""]
 
提示：
	1 <= text.length <= 1000
	text 由一些用空格分隔的单词组成，每个单词都由小写英文字母组成
	1 <= first.length, second.length <= 10
	first 和 second 由小写英文字母组成
"
1157,Insufficient Nodes in Root to Leaf Paths,"Given the root of a binary tree, consider all root to leaf paths: paths from the root to any leaf.  (A leaf is a node with no children.)

A node is insufficient if every such root to leaf path intersecting this node has sum strictly less than limit.

Delete all insufficient nodes simultaneously, and return the root of the resulting binary tree.

 

Example 1:



Input: root = [1,2,3,4,-99,-99,7,8,9,-99,-99,12,13,-99,14], limit = 1

Output: [1,2,3,4,null,null,7,8,9,null,14]



Example 2:



Input: root = [5,4,8,11,null,17,4,7,1,null,null,5,3], limit = 22

Output: [5,4,8,11,null,17,4,7,null,null,null,5]

 

Example 3:



Input: root = [1,2,-3,-5,null,4,null], limit = -1

Output: [1,null,-3,4]


 

Note:


	The given tree will have between 1 and 5000 nodes.
	-10^5 <= node.val <= 10^5
	-10^9 <= limit <= 10^9



 

",Medium,2193,4809,45.6%,Algorithms,16,根到叶路径上的不足节点,"给定一棵二叉树的根 root，请你考虑它所有 从根到叶的路径：从根到任何叶的路径。（所谓一个叶子节点，就是一个没有子节点的节点）
假如通过节点 node 的每种可能的 根-叶 路径上值的总和全都小于给定的 limit，则该节点被称之为「不足节点」，需要被删除。
请你删除所有不足节点，并返回生成的二叉树的根。
 
示例 1：
输入：root = [1,2,3,4,-99,-99,7,8,9,-99,-99,12,13,-99,14], limit = 1
输出：[1,2,3,4,null,null,7,8,9,null,14]
示例 2：
输入：root = [5,4,8,11,null,17,4,7,1,null,null,5,3], limit = 22
输出：[5,4,8,11,null,17,4,7,null,null,null,5]
示例 3：
输入：root = [5,-6,-6], limit = 0
输出：[]
 
提示：
	给定的树有 1 到 5000 个节点
	-10^5 <= node.val <= 10^5
	-10^9 <= limit <= 10^9
 
"
1159,Smallest Subsequence of Distinct Characters,"Return the lexicographically smallest subsequence of text that contains all the distinct characters of text exactly once.
Example 1:
Input: ""cdadabcc""
Output: ""adbc""
Example 2:
Input: ""abcd""
Output: ""abcd""
Example 3:
Input: ""ecbacba""
Output: ""eacb""
Example 4:
Input: ""leetcode""
Output: ""letcod""
 
Constraints:
	1 <= text.length <= 1000
	text consists of lowercase English letters.
Note: This question is the same as 316: https://leetcode.com/problems/remove-duplicate-letters/
",Medium,2995,6150,48.7%,Algorithms,37,不同字符的最小子序列,"返回字符串 text 中按字典序排列最小的子序列，该子序列包含 text 中所有不同字符一次。
 
示例 1：
输入：""cdadabcc""
输出：""adbc""
示例 2：
输入：""abcd""
输出：""abcd""
示例 3：
输入：""ecbacba""
输出：""eacb""
示例 4：
输入：""leetcode""
输出：""letcod""
 
提示：
	1 <= text.length <= 1000
	text 由小写英文字母组成
 
注意：本题目与 316 https://leetcode-cn.com/problems/remove-duplicate-letters/ 相同
"
1160,Letter Tile Possibilities,"You have a set of tiles, where each tile has one letter tiles[i] printed on it.  Return the number of possible non-empty sequences of letters you can make.

 

Example 1:


Input: ""AAB""
Output: 8
Explanation: The possible sequences are ""A"", ""B"", ""AA"", ""AB"", ""BA"", ""AAB"", ""ABA"", ""BAA"".



Example 2:


Input: ""AAABBC""
Output: 188


 


Note:


	1 <= tiles.length <= 7
	tiles consists of uppercase English letters.
",Medium,5342,7332,72.9%,Algorithms,67,活字印刷,"你有一套活字字模 tiles，其中每个字模上都刻有一个字母 tiles[i]。返回你可以印出的非空字母序列的数目。
注意：本题中，每个活字字模只能使用一次。
 
示例 1：
输入：""AAB""
输出：8
解释：可能的序列为 ""A"", ""B"", ""AA"", ""AB"", ""BA"", ""AAB"", ""ABA"", ""BAA""。
示例 2：
输入：""AAABBC""
输出：188
 
提示：
	1 <= tiles.length <= 7
	tiles 由大写英文字母组成
"
1168,Duplicate Zeros,"Given a fixed length array arr of integers, duplicate each occurrence of zero, shifting the remaining elements to the right.

Note that elements beyond the length of the original array are not written.

Do the above modifications to the input array in place, do not return anything from your function.

 

Example 1:


Input: [1,0,2,3,0,4,5,0]
Output: null
Explanation: After calling your function, the input array is modified to: [1,0,0,2,3,0,0,4]


Example 2:


Input: [1,2,3]
Output: null
Explanation: After calling your function, the input array is modified to: [1,2,3]


 

Note:


	1 <= arr.length <= 10000
	0 <= arr[i] <= 9
",Easy,10443,18179,57.4%,Algorithms,39,复写零,"给你一个长度固定的整数数组 arr，请你将该数组中出现的每个零都复写一遍，并将其余的元素向右平移。
注意：请不要在超过该数组长度的位置写入元素。
要求：请对输入的数组 就地 进行上述修改，不要从函数返回任何东西。
 
示例 1：
输入：[1,0,2,3,0,4,5,0]
输出：null
解释：调用函数后，输入的数组将被修改为：[1,0,0,2,3,0,0,4]
示例 2：
输入：[1,2,3]
输出：null
解释：调用函数后，输入的数组将被修改为：[1,2,3]
 
提示：
	1 <= arr.length <= 10000
	0 <= arr[i] <= 9
"
1169,Largest Values From Labels,"We have a set of items: the i-th item has value values[i] and label labels[i].

Then, we choose a subset S of these items, such that:


	|S| <= num_wanted
	For every label L, the number of items in S with label L is <= use_limit.


Return the largest possible sum of the subset S.

 


Example 1:


Input: values = [5,4,3,2,1], labels = [1,1,2,2,3], num_wanted = 3, use_limit = 1
Output: 9
Explanation: The subset chosen is the first, third, and fifth item.



Example 2:


Input: values = [5,4,3,2,1], labels = [1,3,3,3,2], num_wanted = 3, use_limit = 2
Output: 12
Explanation: The subset chosen is the first, second, and third item.



Example 3:


Input: values = [9,8,8,7,6], labels = [0,0,0,1,1], num_wanted = 3, use_limit = 1
Output: 16
Explanation: The subset chosen is the first and fourth item.



Example 4:


Input: values = [9,8,8,7,6], labels = [0,0,0,1,1], num_wanted = 3, use_limit = 2
Output: 24
Explanation: The subset chosen is the first, second, and fourth item.


 

Note:


	1 <= values.length == labels.length <= 20000
	0 <= values[i], labels[i] <= 20000
	1 <= num_wanted, use_limit <= values.length




",Medium,2188,4248,51.5%,Algorithms,12,受标签影响的最大值,"我们有一个项的集合，其中第 i 项的值为 values[i]，标签为 labels[i]。
我们从这些项中选出一个子集 S，这样一来：
	|S| <= num_wanted
	对于任意的标签 L，子集 S 中标签为 L 的项的数目总满足 <= use_limit。
返回子集 S 的最大可能的 和。
 
示例 1：
输入：values = [5,4,3,2,1], labels = [1,1,2,2,3], num_wanted = 3, use_limit = 1
输出：9
解释：选出的子集是第一项，第三项和第五项。
示例 2：
输入：values = [5,4,3,2,1], labels = [1,3,3,3,2], num_wanted = 3, use_limit = 2
输出：12
解释：选出的子集是第一项，第二项和第三项。
示例 3：
输入：values = [9,8,8,7,6], labels = [0,0,0,1,1], num_wanted = 3, use_limit = 1
输出：16
解释：选出的子集是第一项和第四项。
示例 4：
输入：values = [9,8,8,7,6], labels = [0,0,0,1,1], num_wanted = 3, use_limit = 2
输出：24
解释：选出的子集是第一项，第二项和第四项。
 
提示：
	1 <= values.length == labels.length <= 20000
	0 <= values[i], labels[i] <= 20000
	1 <= num_wanted, use_limit <= values.length
"
1170,Shortest Common Supersequence ,"Given two strings str1 and str2, return the shortest string that has both str1 and str2 as subsequences.  If multiple answers exist, you may return any of them.
(A string S is a subsequence of string T if deleting some number of characters from T (possibly 0, and the characters are chosen anywhere from T) results in the string S.)
 
Example 1:
Input: str1 = ""abac"", str2 = ""cab""
Output: ""cabac""
Explanation: 
str1 = ""abac"" is a subsequence of ""cabac"" because we can delete the first ""c"".
str2 = ""cab"" is a subsequence of ""cabac"" because we can delete the last ""ac"".
The answer provided is the shortest such string that satisfies these properties.
 
Note:
	1 <= str1.length, str2.length <= 1000
	str1 and str2 consist of lowercase English letters.
",Hard,1297,2976,43.6%,Algorithms,40,最短公共超序列,"给出两个字符串 str1 和 str2，返回同时以 str1 和 str2 作为子序列的最短字符串。如果答案不止一个，则可以返回满足条件的任意一个答案。
（如果从字符串 T 中删除一些字符（也可能不删除，并且选出的这些字符可以位于 T 中的 任意位置），可以得到字符串 S，那么 S 就是 T 的子序列）
 
示例：
输入：str1 = ""abac"", str2 = ""cab""
输出：""cabac""
解释：
str1 = ""abac"" 是 ""cabac"" 的一个子串，因为我们可以删去 ""cabac"" 的第一个 ""c""得到 ""abac""。 
str2 = ""cab"" 是 ""cabac"" 的一个子串，因为我们可以删去 ""cabac"" 末尾的 ""ac"" 得到 ""cab""。
最终我们给出的答案是满足上述属性的最短字符串。
 
提示：
	1 <= str1.length, str2.length <= 1000
	str1 和 str2 都由小写英文字母组成。
"
1171,Shortest Path in Binary Matrix,"In an N by N square grid, each cell is either empty (0) or blocked (1).
A clear path from top-left to bottom-right has length k if and only if it is composed of cells C_1, C_2, ..., C_k such that:
	Adjacent cells C_i and C_{i+1} are connected 8-directionally (ie., they are different and share an edge or corner)
	C_1 is at location (0, 0) (ie. has value grid[0][0])
	C_k is at location (N-1, N-1) (ie. has value grid[N-1][N-1])
	If C_i is located at (r, c), then grid[r][c] is empty (ie. grid[r][c] == 0).
Return the length of the shortest such clear path from top-left to bottom-right.  If such a path does not exist, return -1.
 
Example 1:
Input: [[0,1],[1,0]]
Output: 2
Example 2:
Input: [[0,0,0],[1,1,0],[1,1,0]]
Output: 4
 
Note:
	1 <= grid.length == grid[0].length <= 100
	grid[r][c] is 0 or 1
",Medium,8644,25659,33.7%,Algorithms,44,二进制矩阵中的最短路径,"在一个 N  N 的方形网格中，每个单元格有两种状态：空（0）或者阻塞（1）。
一条从左上角到右下角、长度为 k 的畅通路径，由满足下述条件的单元格 C_1, C_2, ..., C_k 组成：
	相邻单元格 C_i 和 C_{i+1} 在八个方向之一上连通（此时，C_i 和 C_{i+1} 不同且共享边或角）
	C_1 位于 (0, 0)（即，值为 grid[0][0]）
	C_k 位于 (N-1, N-1)（即，值为 grid[N-1][N-1]）
	如果 C_i 位于 (r, c)，则 grid[r][c] 为空（即，grid[r][c] == 0）
返回这条从左上角到右下角的最短畅通路径的长度。如果不存在这样的路径，返回 -1 。
 
示例 1：
输入：[[0,1],[1,0]]
输出：2
示例 2：
输入：[[0,0,0],[1,1,0],[1,1,0]]
输出：4
 
提示：
	1 <= grid.length == grid[0].length <= 100
	grid[i][j] 为 0 或 1
"
1183,Statistics from a Large Sample,"We sampled integers between 0 and 255, and stored the results in an array count:  count[k] is the number of integers we sampled equal to k.
Return the minimum, maximum, mean, median, and mode of the sample respectively, as an array of floating point numbers.  The mode is guaranteed to be unique.
(Recall that the median of a sample is:
	The middle element, if the elements of the sample were sorted and the number of elements is odd;
	The average of the middle two elements, if the elements of the sample were sorted and the number of elements is even.)
 
Example 1:
Input: count = [0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
Output: [1.00000,3.00000,2.37500,2.50000,3.00000]
Example 2:
Input: count = [0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
Output: [1.00000,4.00000,2.18182,2.00000,1.00000]
 
Constraints:
	count.length == 256
	1 <= sum(count) <= 10^9
	The mode of the sample that count represents is unique.
	Answers within 10^-5 of the true value will be accepted as correct.
",Medium,2037,4987,40.8%,Algorithms,12,大样本统计,"我们对 0 到 255 之间的整数进行采样，并将结果存储在数组 count 中：count[k] 就是整数 k 的采样个数。
我们以 浮点数 数组的形式，分别返回样本的最小值、最大值、平均值、中位数和众数。其中，众数是保证唯一的。
我们先来回顾一下中位数的知识：
	如果样本中的元素有序，并且元素数量为奇数时，中位数为最中间的那个元素；
	如果样本中的元素有序，并且元素数量为偶数时，中位数为中间的两个元素的平均值。
 
示例 1：
输入：count = [0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
输出：[1.00000,3.00000,2.37500,2.50000,3.00000]
示例 2：
输入：count = [0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
输出：[1.00000,4.00000,2.18182,2.00000,1.00000]
 
提示：
	count.length == 256
	1 <= sum(count) <= 10^9
	计数表示的众数是唯一的
	答案与真实值误差在 10^-5 以内就会被视为正确答案
"
1184,Car Pooling,"You are driving a vehicle that has capacity empty seats initially available for passengers.  The vehicle only drives east (ie. it cannot turn around and drive west.)
Given a list of trips, trip[i] = [num_passengers, start_location, end_location] contains information about the i-th trip: the number of passengers that must be picked up, and the locations to pick them up and drop them off.  The locations are given as the number of kilometers due east from your vehicle's initial location.
Return true if and only if it is possible to pick up and drop off all passengers for all the given trips. 
 
Example 1:
Input: trips = [[2,1,5],[3,3,7]], capacity = 4
Output: false
Example 2:
Input: trips = [[2,1,5],[3,3,7]], capacity = 5
Output: true
Example 3:
Input: trips = [[2,1,5],[3,5,7]], capacity = 3
Output: true
Example 4:
Input: trips = [[3,2,7],[3,7,9],[8,3,9]], capacity = 11
Output: true
 
 
Constraints:
	trips.length <= 1000
	trips[i].length == 3
	1 <= trips[i][0] <= 100
	0 <= trips[i][1] < trips[i][2] <= 1000
	1 <= capacity <= 100000
",Medium,8999,15368,58.6%,Algorithms,39,拼车,"假设你是一位顺风车司机，车上最初有 capacity 个空座位可以用来载客。由于道路的限制，车 只能 向一个方向行驶（也就是说，不允许掉头或改变方向，你可以将其想象为一个向量）。
这儿有一份乘客行程计划表 trips[][]，其中 trips[i] = [num_passengers, start_location, end_location] 包含了第 i 组乘客的行程信息：
	必须接送的乘客数量；
	乘客的上车地点；
	以及乘客的下车地点。
这些给出的地点位置是从你的 初始 出发位置向前行驶到这些地点所需的距离（它们一定在你的行驶方向上）。
请你根据给出的行程计划表和车子的座位数，来判断你的车是否可以顺利完成接送所用乘客的任务（当且仅当你可以在所有给定的行程中接送所有乘客时，返回 true，否则请返回 false）。
 
示例 1：
输入：trips = [[2,1,5],[3,3,7]], capacity = 4
输出：false
示例 2：
输入：trips = [[2,1,5],[3,3,7]], capacity = 5
输出：true
示例 3：
输入：trips = [[2,1,5],[3,5,7]], capacity = 3
输出：true
示例 4：
输入：trips = [[3,2,7],[3,7,9],[8,3,9]], capacity = 11
输出：true
 
提示：
	你可以假设乘客会自觉遵守 先下后上 的良好素质
	trips.length <= 1000
	trips[i].length == 3
	1 <= trips[i][0] <= 100
	0 <= trips[i][1] < trips[i][2] <= 1000
	1 <= capacity <= 100000
"
1185,Find in Mountain Array,"(This problem is an interactive problem.)
You may recall that an array A is a mountain array if and only if:
	A.length >= 3
	There exists some i with 0 < i < A.length - 1 such that:
	
		A[0] < A[1] < ... A[i-1] < A[i]
		A[i] > A[i+1] > ... > A[A.length - 1]
	
	
Given a mountain array mountainArr, return the minimum index such that mountainArr.get(index) == target.  If such an index doesn't exist, return -1.
You can't access the mountain array directly.  You may only access the array using a MountainArray interface:
	MountainArray.get(k) returns the element of the array at index k (0-indexed).
	MountainArray.length() returns the length of the array.
Submissions making more than 100 calls to MountainArray.get will be judged Wrong Answer.  Also, any solutions that attempt to circumvent the judge will result in disqualification.
 
Example 1:
Input: array = [1,2,3,4,5,3,1], target = 3
Output: 2
Explanation: 3 exists in the array, at index=2 and index=5. Return the minimum index, which is 2.
Example 2:
Input: array = [0,1,2,4,2,1], target = 3
Output: -1
Explanation: 3 does not exist in the array, so we return -1.
 
Constraints:
	3 <= mountain_arr.length() <= 10000
	0 <= target <= 10^9
	0 <= mountain_arr.get(index) <= 10^9
",Hard,13546,36771,36.8%,Algorithms,79,山脉数组中查找目标值,"（这是一个 交互式问题 ）
给你一个 山脉数组 mountainArr，请你返回能够使得 mountainArr.get(index) 等于 target 最小 的下标 index 值。
如果不存在这样的下标 index，就请返回 -1。
 
何为山脉数组？如果数组 A 是一个山脉数组的话，那它满足如下条件：
首先，A.length >= 3
其次，在 0 < i < A.length - 1 条件下，存在 i 使得：
	A[0] < A[1] < ... A[i-1] < A[i]
	A[i] > A[i+1] > ... > A[A.length - 1]
 
你将 不能直接访问该山脉数组，必须通过 MountainArray 接口来获取数据：
	MountainArray.get(k) - 会返回数组中索引为k 的元素（下标从 0 开始）
	MountainArray.length() - 会返回该数组的长度
 
注意：
对 MountainArray.get 发起超过 100 次调用的提交将被视为错误答案。此外，任何试图规避判题系统的解决方案都将会导致比赛资格被取消。
为了帮助大家更好地理解交互式问题，我们准备了一个样例 答案：https://leetcode-cn.com/playground/RKhe3ave，请注意这 不是一个正确答案。
 
示例 1：
输入：array = [1,2,3,4,5,3,1], target = 3
输出：2
解释：3 在数组中出现了两次，下标分别为 2 和 5，我们返回最小的下标 2。
示例 2：
输入：array = [0,1,2,4,2,1], target = 3
输出：-1
解释：3 在数组中没有出现，返回 -1。
 
提示：
	3 <= mountain_arr.length() <= 10000
	0 <= target <= 10^9
	0 <= mountain_arr.get(index) <= 10^9
"
1188,Brace Expansion II,"Under a grammar given below, strings can represent a set of lowercase words.  Let's use R(expr) to denote the set of words the expression represents.
Grammar can best be understood through simple examples:
	Single letters represent a singleton set containing that word.
	
		R(""a"") = {""a""}
		R(""w"") = {""w""}
	
	
	When we take a comma delimited list of 2 or more expressions, we take the union of possibilities.
	
		R(""{a,b,c}"") = {""a"",""b"",""c""}
		R(""{{a,b},{b,c}}"") = {""a"",""b"",""c""} (notice the final set only contains each word at most once)
	
	
	When we concatenate two expressions, we take the set of possible concatenations between two words where the first word comes from the first expression and the second word comes from the second expression.
	
		R(""{a,b}{c,d}"") = {""ac"",""ad"",""bc"",""bd""}
		R(""a{b,c}{d,e}f{g,h}"") = {""abdfg"", ""abdfh"", ""abefg"", ""abefh"", ""acdfg"", ""acdfh"", ""acefg"", ""acefh""}
	
	
Formally, the 3 rules for our grammar:
	For every lowercase letter x, we have R(x) = {x}
	For expressions e_1, e_2, ... , e_k with k >= 2, we have R({e_1,e_2,...}) = R(e_1)  R(e_2)  ...
	For expressions e_1 and e_2, we have R(e_1 + e_2) = {a + b for (a, b) in R(e_1)  R(e_2)}, where + denotes concatenation, and  denotes the cartesian product.
Given an expression representing a set of words under the given grammar, return the sorted list of words that the expression represents.
 
Example 1:
Input: ""{a,b}{c,{d,e}}""
Output: [""ac"",""ad"",""ae"",""bc"",""bd"",""be""]
Example 2:
Input: ""{{a,z},a{b,c},{ab,z}}""
Output: [""a"",""ab"",""ac"",""z""]
Explanation: Each distinct word is written only once in the final answer.
 
Constraints:
	1 <= expression.length <= 60
	expression[i] consists of '{', '}', ','or lowercase English letters.
	The given expression represents a set of words based on the grammar given in the description.
",Hard,904,1763,51.3%,Algorithms,22,花括号展开 II,"如果你熟悉 Shell 编程，那么一定了解过花括号展开，它可以用来生成任意字符串。
花括号展开的表达式可以看作一个由 花括号、逗号 和 小写英文字母 组成的字符串，定义下面几条语法规则：
	如果只给出单一的元素 x，那么表达式表示的字符串就只有 ""x""。 
	
		例如，表达式 {a} 表示字符串 ""a""。
		而表达式 {ab} 就表示字符串 ""ab""。
	
	
	当两个或多个表达式并列，以逗号分隔时，我们取这些表达式中元素的并集。
	
		例如，表达式 {a,b,c} 表示字符串 ""a"",""b"",""c""。
		而表达式 {a,b},{b,c} 也可以表示字符串 ""a"",""b"",""c""。
	
	
	要是两个或多个表达式相接，中间没有隔开时，我们从这些表达式中各取一个元素依次连接形成字符串。
	
		例如，表达式 {a,b}{c,d} 表示字符串 ""ac"",""ad"",""bc"",""bd""。
	
	
	表达式之间允许嵌套，单一元素与表达式的连接也是允许的。
	
		例如，表达式 a{b,c,d} 表示字符串 ""ab"",""ac"",""ad""​​​​​​。
		例如，表达式 {a{b,c}}{{d,e}f{g,h}} 可以代换为 {ab,ac}{dfg,dfh,efg,efh}，表示字符串 ""abdfg"", ""abdfh"", ""abefg"", ""abefh"", ""acdfg"", ""acdfh"", ""acefg"", ""acefh""。
	
	
给出表示基于给定语法规则的表达式 expression，返回它所表示的所有字符串组成的有序列表。
假如你希望以「集合」的概念了解此题，也可以通过点击 显示英文描述 获取详情。
 
示例 1：
输入：""{a,b}{c{d,e}}""
输出：[""acd"",""ace"",""bcd"",""bce""]
示例 2：
输入：""{{a,z}, a{b,c}, {ab,z}}""
输出：[""a"",""ab"",""ac"",""z""]
解释：输出中 不应 出现重复的组合结果。
 
提示：
	1 <= expression.length <= 50
	expression[i] 由 '{'，'}'，',' 或小写英文字母组成
	给出的表达式 expression 用以表示一组基于题目描述中语法构造的字符串
"
1194,Path In Zigzag Labelled Binary Tree,"In an infinite binary tree where every node has two children, the nodes are labelled in row order.
In the odd numbered rows (ie., the first, third, fifth,...), the labelling is left to right, while in the even numbered rows (second, fourth, sixth,...), the labelling is right to left.
Given the label of a node in this tree, return the labels in the path from the root of the tree to the node with that label.
 
Example 1:
Input: label = 14
Output: [1,3,4,14]
Example 2:
Input: label = 26
Output: [1,2,6,10,26]
 
Constraints:
	1 <= label <= 10^6
",Medium,4657,6743,69.1%,Algorithms,38,二叉树寻路,"在一棵无限的二叉树上，每个节点都有两个子节点，树中的节点 逐行 依次按 之 字形进行标记。
如下图所示，在奇数行（即，第一行、第三行、第五行）中，按从左到右的顺序进行标记；
而偶数行（即，第二行、第四行、第六行）中，按从右到左的顺序进行标记。
给你树上某一个节点的标号 label，请你返回从根节点到该标号为 label 节点的路径，该路径是由途经的节点标号所组成的。
 
示例 1：
输入：label = 14
输出：[1,3,4,14]
示例 2：
输入：label = 26
输出：[1,2,6,10,26]
 
提示：
	1 <= label <= 10^6
"
